ingredient,Protein,Total lipid (fat),Carbohydrate,Fiber,Calcium,Iron,Sodium,Vitamin A,Vitamin C,Cholesterol,Magnesium,Phosphorus,Potassium,Zinc,Copper,Selenium,Vitamin E,Vitamin D,Thiamin,Riboflavin,Niacin,Folate,Choline,Vitamin K,Manganese,Pantothenic acid,Biotin
radicchio,4.0,0.0,1.0,11.0,2.0,2.0,2.0,0.0,7.0,0.0,3.0,4.0,3.0,8.0,84.0,,,,,,,15.0,,142.0,0.0,,
radish,1.0,0.0,1.0,6.0,2.0,2.0,2.0,0.0,16.0,0.0,2.0,2.0,5.0,3.0,6.0,1.0,0.0,0.0,1.0,3.0,2.0,6.0,1.0,1.0,,,
raisin,20.0,5.0,19.0,0.0,3.0,17.0,15.0,0.0,7.0,0.0,,,,,,,,,0.0,22.0,21.0,,,,,,
raspberry,0.0,0.0,24.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,,,,0.0,,,,,,,,,
rhubarb,2.0,0.0,6.0,6.0,6.0,1.0,0.0,0.0,6.0,0.0,3.0,1.0,5.0,1.0,2.0,2.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,22.0,,,
rice,7.0,3.0,10.0,5.0,2.0,10.0,20.0,8.0,3.0,0.0,,,,,,,,,,,,,,,,,
ricotta,19.0,12.0,2.0,0.0,19.0,2.0,4.0,13.0,0.0,13.0,4.0,14.0,4.0,9.0,2.0,20.0,0.0,1.0,3.0,20.0,1.0,2.0,3.0,0.0,,,
root vegetable,3.0,0.0,6.0,12.0,3.0,4.0,0.0,0.0,3.0,0.0,9.0,4.0,7.0,3.0,9.0,1.0,3.0,0.0,1.0,2.0,2.0,6.0,2.0,1.0,10.0,6.0,
rosemary,0.0,0.0,0.0,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,
rutabaga,2.0,0.0,3.0,11.0,3.0,2.0,0.0,0.0,27.0,0.0,,,,,,,,,,,,,,,,,
rye,14.0,3.0,18.0,21.0,5.0,16.0,28.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
saffron,0.0,0.0,0.0,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,
sage,0.0,0.0,0.0,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,
salmon,30.0,10.0,1.0,2.0,1.0,3.0,14.0,15.0,1.0,15.0,,,,,,,,,,,,,,,,,
salsa,0.0,5.0,3.0,0.0,0.0,7.0,36.0,119.0,24.0,0.0,,,,,,,,,,,,,,,,,
sardine,36.0,10.0,8.0,4.0,24.0,17.0,16.0,2.0,0.0,26.0,8.0,26.0,6.0,10.0,18.0,72.0,0.0,14.0,23.0,18.0,31.0,20.0,9.0,1.0,,,
sausage,21.0,22.0,4.0,5.0,2.0,20.0,87.0,15.0,2.0,13.0,,,,,,,,,,,,,,,,,
scallop,22.0,16.0,5.0,2.0,1.0,7.0,20.0,0.0,0.0,8.0,5.0,22.0,4.0,8.0,5.0,23.0,0.0,0.0,12.0,6.0,10.0,12.0,10.0,10.0,,,
seed,11.0,3.0,12.0,17.0,5.0,3.0,1.0,26.0,7.0,0.0,12.0,10.0,19.0,8.0,119.0,,,0.0,24.0,13.0,33.0,12.0,,,6.0,16.0,
sesame,6.0,58.0,3.0,4.0,1.0,3.0,43.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,47.0,,,
sesame oil,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,,,
shallot,5.0,0.0,6.0,11.0,3.0,7.0,1.0,0.0,9.0,0.0,5.0,5.0,7.0,4.0,10.0,2.0,0.0,0.0,5.0,2.0,1.0,8.0,2.0,1.0,13.0,6.0,
shellfish,31.0,9.0,2.0,1.0,5.0,3.0,15.0,7.0,0.0,47.0,6.0,22.0,3.0,10.0,23.0,61.0,0.0,0.0,6.0,3.0,14.0,7.0,16.0,5.0,,,
shrimp,24.0,0.0,0.0,0.0,5.0,2.0,21.0,0.0,0.0,37.0,,,,,,,,,,,,,,,,,
snapper,41.0,2.0,0.0,0.0,2.0,0.0,3.0,,,13.0,,,9.0,,,,,2000.0,,,,,,,,,
sorbet,2.0,0.0,10.0,2.0,0.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,,
sour cream,7.0,21.0,2.0,0.0,10.0,0.0,2.0,74.0,0.0,22.0,,,4.0,,,,,,,,,,,,,,
sourdough,21.0,4.0,26.0,11.0,2.0,6.0,35.0,0.0,6.0,0.0,,,,,,,,,,,,,,,,,
soy,53.0,9.0,19.0,12.0,13.0,29.0,37.0,0.0,0.0,0.0,40.0,1.0,0.0,14.0,273.0,22.0,0.0,0.0,28.0,27.0,19.0,60.0,20.0,10.0,,,
soy sauce,16.0,1.0,2.0,3.0,3.0,8.0,239.0,0.0,0.0,0.0,18.0,13.0,9.0,8.0,5.0,1.0,0.0,0.0,3.0,13.0,14.0,4.0,3.0,0.0,,,
spinach,7.0,0.0,1.0,9.0,7.0,18.0,4.0,719.0,31.0,0.0,,,,,,,,,,,,47.0,,,,,
squash,1.0,4.0,2.0,5.0,2.0,2.0,6.0,2.0,4.0,1.0,3.0,1.0,2.0,2.0,4.0,1.0,0.0,0.0,3.0,2.0,5.0,2.0,1.0,2.0,,,
squid,29.0,21.0,1.0,0.0,6.0,7.0,28.0,20.0,0.0,9.0,,,,,,,,,,,,,,,,,
strawberry,7.0,0.0,41.0,36.0,5.0,0.0,3.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
sugar snap pea,5.0,0.0,3.0,8.0,3.0,4.0,0.0,,,0.0,,,4.0,,,,,0.0,,,,,,,,,
sweet potato,11.0,2.0,6.0,7.0,2.0,3.0,8.0,588.0,5.0,5.0,,,,,,,,,,,,,,,,,
yam,3.0,0.0,10.0,14.0,2.0,3.0,0.0,15.0,19.0,0.0,,,,,,,,,,,,,,,,,
swordfish,44.0,15.0,3.0,1.0,1.0,5.0,15.0,6.0,0.0,26.0,8.0,23.0,10.0,7.0,7.0,113.0,0.0,73.0,14.0,8.0,55.0,7.0,13.0,3.0,,,
tilapia,38.0,5.0,1.0,0.0,1.0,4.0,19.0,0.0,1.0,15.0,,,,,,,,,,,,,,,,,
tofu,,,,,,,,,,,,,,,,,,,,,,,,,,,
tomatillo,2.0,1.0,2.0,7.0,1.0,3.0,0.0,1.0,13.0,0.0,5.0,3.0,6.0,2.0,9.0,1.0,0.0,0.0,4.0,3.0,12.0,2.0,1.0,8.0,7.0,3.0,
tomato,,,,,,,,,,,,,,,,,,,,,,,,,,,
tortillas,7.0,2.0,14.0,13.0,11.0,7.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
tree nut,1.0,0.0,4.0,13.0,1.0,1.0,10.0,22.0,33.0,0.0,1.0,0.0,0.0,3.0,22.0,2.0,,0.0,0.0,23.0,22.0,4.0,,,23.0,1.0,
turnip,5.0,0.0,1.0,9.0,9.0,9.0,1.0,679.0,29.0,0.0,4.0,2.0,2.0,1.0,6.0,2.0,,0.0,4.0,7.0,2.0,10.0,,,10.0,2.0,
vanilla,7.0,21.0,8.0,0.0,9.0,2.0,3.0,20.0,0.0,31.0,3.0,8.0,3.0,4.0,1.0,6.0,0.0,2.0,3.0,13.0,1.0,2.0,5.0,1.0,,,
veal,36.0,11.0,2.0,2.0,1.0,6.0,6.0,5.0,2.0,18.0,6.0,11.0,4.0,11.0,14.0,33.0,0.0,2.0,8.0,21.0,33.0,6.0,16.0,14.0,,,
vegetable,5.0,0.0,2.0,5.0,2.0,5.0,1.0,674.0,6.0,0.0,5.0,2.0,4.0,2.0,8.0,1.0,0.0,0.0,5.0,5.0,5.0,10.0,2.0,20.0,,5.0,
venison,40.0,32.0,0.0,0.0,1.0,14.0,36.0,1.0,0.0,30.0,5.0,15.0,6.0,34.0,11.0,19.0,0.0,2.0,34.0,22.0,45.0,1.0,14.0,1.0,,,
vinegar,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
wasabi,4.0,14.0,17.0,22.0,3.0,3.0,147.0,0.0,0.0,0.0,5.0,2.0,4.0,6.0,6.0,4.0,0.0,0.0,4.0,5.0,1.0,2.0,0.0,0.0,6.0,0.0,
watercress,5.0,4.0,0.0,2.0,10.0,1.0,8.0,19.0,35.0,1.0,5.0,5.0,7.0,1.0,9.0,2.0,0.0,0.0,7.0,9.0,1.0,2.0,2.0,219.0,,,
watermelon,2.0,0.0,3.0,1.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,
wheat,21.0,6.0,17.0,14.0,10.0,20.0,20.0,0.0,0.0,0.0,10.0,10.0,3.0,9.0,16.0,52.0,0.0,0.0,34.0,19.0,35.0,25.0,3.0,4.0,,,
gluten-free,9.0,7.0,17.0,15.0,11.0,15.0,19.0,0.0,0.0,0.0,3.0,4.0,2.0,4.0,8.0,1.0,0.0,0.0,31.0,39.0,17.0,9.0,2.0,0.0,,,
wild rice,27.0,1.0,28.0,16.0,0.0,9.0,0.0,0.0,0.0,0.0,,27.0,6.0,30.0,,,,,,17.0,42.0,,,,,,
yogurt,7.0,5.0,2.0,0.0,10.0,0.0,2.0,236.0,,5.0,3.0,,3.0,6.0,,,,0.0,,12.0,,,,,,,
yuca,2.0,0.0,11.0,12.0,1.0,7.0,0.0,,,0.0,,,8.0,,,,,0.0,,,,,,,,,
zucchini,2.0,0.0,2.0,4.0,2.0,2.0,0.0,,14.0,0.0,,,5.0,,,,,0.0,,,,,,,,,
